title,location,property_type,area,price,price_per_sqft,description,developer,url,nearby,area_sqft,price_lakhs,price_per_sqft_numeric,combined_text,cluster
"Residential Land / Plot in Kandukur, Hyderabad","Kandukur, Hyderabad",,1503 sqft,,,"Residential Plot for Sale in Kandukur, Hyderabad. Covered area is 167.0 Sq-ft. This property belongs to ""The Capital 5Th City"" . View Property NearbySt. Marys English Medium High SchoolGovt Primary School-KandukurGovt Hospital-KandukurPHC Kandukur",The Capital 5Th City,https://www.magicbricks.com/propertyDetails/167-Sq-yrd-Residential-Plot-FOR-Sale-Kandukur-in-Hyderabad&id=4d423835353730303133,"St. Marys English Medium High School, Govt Primary School-Kandukur, Govt Hospital-Kandukur, PHC Kandukur",1503.0,0.0,0.0,"Residential Land / Plot in Kandukur, Hyderabad Kandukur, Hyderabad Residential Plot for Sale in Kandukur, Hyderabad. Covered area is 167.0 Sq-ft. This property belongs to ""The Capital 5Th City"" . View Property NearbySt. Marys English Medium High SchoolGovt Primary School-KandukurGovt Hospital-KandukurPHC Kandukur The Capital 5Th City St. Marys English Medium High School, Govt Primary School-Kandukur, Govt Hospital-Kandukur, PHC Kandukur",3
"Residential Land / Plot in Thummaloor, Hyderabad","Thummaloor, Hyderabad",,2906 sqft,,,"Residential Plot for Sale in Thummaloor, Hyderabad. Covered area is 2906.0 Sq-ft. This property belongs to ""Bhuvana Harmony Woods"" . View Property",Bhuvana Harmony Woods,https://www.magicbricks.com/propertyDetails/2906-Sq-ft-Residential-Plot-FOR-Sale-Thummaloor-in-Hyderabad&id=4d423835373938383337,,2906.0,0.0,0.0,"Residential Land / Plot in Thummaloor, Hyderabad Thummaloor, Hyderabad Residential Plot for Sale in Thummaloor, Hyderabad. Covered area is 2906.0 Sq-ft. This property belongs to ""Bhuvana Harmony Woods"" . View Property Bhuvana Harmony Woods ",2
"Residential Land / Plot in Maheshwaram, Hyderabad","Maheshwaram, Hyderabad",,2196 sqft,,,"Residential Plot for Sale in Maheshwaram, Hyderabad. Covered area is 244.0 Sq-ft. This property belongs to ""Srr Maheshwaram Golden City"" . View Property NearbyAkanpally Bus StopMaheswaram Bus DepotElectronic Hardware Park-MaheshwaramGovernment Degree College- Maheshwaram, Rangareddy DistrictJJ Institute of Information TechnologyCommunity Health Centre MaheswaramArkan Hospital - Mansanpally X Road",Srr Maheshwaram Golden City,https://www.magicbricks.com/propertyDetails/244-Sq-yrd-Residential-Plot-FOR-Sale-Maheshwaram-in-Hyderabad&id=4d423836313136373235,"Akanpally Bus Stop, Maheswaram Bus Depot, Electronic Hardware Park-Maheshwaram, Government Degree College- Maheshwaram, Rangareddy District, JJ Institute of Information Technology, Community Health Centre Maheswaram, Arkan Hospital - Mansanpally X Road",2196.0,0.0,0.0,"Residential Land / Plot in Maheshwaram, Hyderabad Maheshwaram, Hyderabad Residential Plot for Sale in Maheshwaram, Hyderabad. Covered area is 244.0 Sq-ft. This property belongs to ""Srr Maheshwaram Golden City"" . View Property NearbyAkanpally Bus StopMaheswaram Bus DepotElectronic Hardware Park-MaheshwaramGovernment Degree College- Maheshwaram, Rangareddy DistrictJJ Institute of Information TechnologyCommunity Health Centre MaheswaramArkan Hospital - Mansanpally X Road Srr Maheshwaram Golden City Akanpally Bus Stop, Maheswaram Bus Depot, Electronic Hardware Park-Maheshwaram, Government Degree College- Maheshwaram, Rangareddy District, JJ Institute of Information Technology, Community Health Centre Maheswaram, Arkan Hospital - Mansanpally X Road",0
"Residential Land / Plot in Bangalore Hyderabad Highway, Hyderabad","Bangalore Hyderabad Highway, Hyderabad",,1980 sqft,,,"Residential Plot for Sale in Bangalore Hyderabad Highway, Hyderabad. Covered area is 220.0 Sq-ft. This property belongs to ""Mugdha Magnus Smart City"" . View Property",Mugdha Magnus Smart City,https://www.magicbricks.com/propertyDetails/220-Sq-yrd-Residential-Plot-FOR-Sale-Bangalore-Hyderabad-Highway-in-Hyderabad&id=4d423836323139383431,,1980.0,0.0,0.0,"Residential Land / Plot in Bangalore Hyderabad Highway, Hyderabad Bangalore Hyderabad Highway, Hyderabad Residential Plot for Sale in Bangalore Hyderabad Highway, Hyderabad. Covered area is 220.0 Sq-ft. This property belongs to ""Mugdha Magnus Smart City"" . View Property Mugdha Magnus Smart City ",0
"Residential Land / Plot in Kongara Kalan, Hyderabad","Kongara Kalan, Hyderabad",,5094 sqft,,,"Residential Plot for Sale in Kongara Kalan, Hyderabad. Covered area is 566.0 Sq-ft. This property belongs to ""SBS Infinity Meadows"" . View Property NearbySmart Genius Model School",SBS Infinity Meadows,https://www.magicbricks.com/propertyDetails/566-Sq-yrd-Residential-Plot-FOR-Sale-Kongara-Kalan-in-Hyderabad&id=4d423836313237363533,Smart Genius Model School,5094.0,0.0,0.0,"Residential Land / Plot in Kongara Kalan, Hyderabad Kongara Kalan, Hyderabad Residential Plot for Sale in Kongara Kalan, Hyderabad. Covered area is 566.0 Sq-ft. This property belongs to ""SBS Infinity Meadows"" . View Property NearbySmart Genius Model School SBS Infinity Meadows Smart Genius Model School",4
"Residential Land / Plot in Nawabpet, Hyderabad","Nawabpet, Hyderabad",,2700 sqft,,,"Residential Plot for Sale in Nawabpet, Hyderabad. Covered area is 300.0 Sq-ft. This property belongs to ""URBAN SANTO"" . View Property",URBAN SANTO,https://www.magicbricks.com/propertyDetails/300-Sq-yrd-Residential-Plot-FOR-Sale-Nawabpet-in-Hyderabad&id=4d423836313338393733,,2700.0,0.0,0.0,"Residential Land / Plot in Nawabpet, Hyderabad Nawabpet, Hyderabad Residential Plot for Sale in Nawabpet, Hyderabad. Covered area is 300.0 Sq-ft. This property belongs to ""URBAN SANTO"" . View Property URBAN SANTO ",2
"Residential Land / Plot in Medchal, Hyderabad","Medchal, Hyderabad",,3366 sqft,,,"Residential Plot for Sale in Medchal, Hyderabad. Covered area is 374.0 Sq-ft. This property belongs to ""Gowra Greendale"" . View Property NearbyGowdavalli Railway StationMedchal Bus StopManikanta Super Market and ice-cream distributionKistapur Market (Every Friday)Hyderabad Engineering CollegeSt. Claret High SchoolShanvika HospitalSurya Childrens Hospital",Gowra Greendale,https://www.magicbricks.com/propertyDetails/374-Sq-yrd-Residential-Plot-FOR-Sale-Medchal-in-Hyderabad&id=4d423836323930303033,"Gowdavalli Railway Station, Medchal Bus Stop, Manikanta Super Market and ice-cream distribution, Kistapur Market (Every Friday), Hyderabad Engineering College, St. Claret High School, Shanvika Hospital, Surya Childrens Hospital",3366.0,0.0,0.0,"Residential Land / Plot in Medchal, Hyderabad Medchal, Hyderabad Residential Plot for Sale in Medchal, Hyderabad. Covered area is 374.0 Sq-ft. This property belongs to ""Gowra Greendale"" . View Property NearbyGowdavalli Railway StationMedchal Bus StopManikanta Super Market and ice-cream distributionKistapur Market (Every Friday)Hyderabad Engineering CollegeSt. Claret High SchoolShanvika HospitalSurya Childrens Hospital Gowra Greendale Gowdavalli Railway Station, Medchal Bus Stop, Manikanta Super Market and ice-cream distribution, Kistapur Market (Every Friday), Hyderabad Engineering College, St. Claret High School, Shanvika Hospital, Surya Childrens Hospital",1
"Residential Land / Plot in Sadashivpet, Hyderabad","Sadashivpet, Hyderabad",,2997 sqft,,,"Residential Plot for Sale in Sadashivpet, Hyderabad. Covered area is 333.0 Sq-ft. This property belongs to ""Golden City"" . View Property NearbyBaradi Complex(Baradi Ravinder)Mathrusri Hospital",Golden City,https://www.magicbricks.com/propertyDetails/333-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423836303032383333,"Baradi Complex(Baradi Ravinder), Mathrusri Hospital",2997.0,0.0,0.0,"Residential Land / Plot in Sadashivpet, Hyderabad Sadashivpet, Hyderabad Residential Plot for Sale in Sadashivpet, Hyderabad. Covered area is 333.0 Sq-ft. This property belongs to ""Golden City"" . View Property NearbyBaradi Complex(Baradi Ravinder)Mathrusri Hospital Golden City Baradi Complex(Baradi Ravinder), Mathrusri Hospital",2
"Residential Land / Plot in Mazidpur, Hyderabad","Mazidpur, Hyderabad",,2997 sqft,,,"Residential Plot for Sale in Mazidpur, Hyderabad. Covered area is 333.0 Sq-ft. This property belongs to ""Rock Town Phase 1"" . View Property NearbyMount Opera Bus StopAnnamacharya Institute Of Technology and Sciences",SR Rock Town Phase 1,https://www.magicbricks.com/propertyDetails/333-Sq-yrd-Residential-Plot-FOR-Sale-Mazidpur-in-Hyderabad&id=4d423836313535323433,"Mount Opera Bus Stop, Annamacharya Institute Of Technology and Sciences",2997.0,0.0,0.0,"Residential Land / Plot in Mazidpur, Hyderabad Mazidpur, Hyderabad Residential Plot for Sale in Mazidpur, Hyderabad. Covered area is 333.0 Sq-ft. This property belongs to ""Rock Town Phase 1"" . View Property NearbyMount Opera Bus StopAnnamacharya Institute Of Technology and Sciences SR Rock Town Phase 1 Mount Opera Bus Stop, Annamacharya Institute Of Technology and Sciences",2
"Residential Land / Plot in Kandukur, Hyderabad","Kandukur, Hyderabad",,1503 sqft,,,"Residential Plot for Sale in Kandukur, Hyderabad. Covered area is 167.0 Sq-ft. This property belongs to ""The Capital 5Th City"" . View Property NearbySt. Marys English Medium High SchoolRavindra Shatiniketan SchoolPHC KandukurGovt Hospital-Kandukur",The Capital 5Th City,https://www.magicbricks.com/propertyDetails/167-Sq-yrd-Residential-Plot-FOR-Sale-Kandukur-in-Hyderabad&id=4d423835343432373833,"St. Marys English Medium High School, Ravindra Shatiniketan School, PHC Kandukur, Govt Hospital-Kandukur",1503.0,0.0,0.0,"Residential Land / Plot in Kandukur, Hyderabad Kandukur, Hyderabad Residential Plot for Sale in Kandukur, Hyderabad. Covered area is 167.0 Sq-ft. This property belongs to ""The Capital 5Th City"" . View Property NearbySt. Marys English Medium High SchoolRavindra Shatiniketan SchoolPHC KandukurGovt Hospital-Kandukur The Capital 5Th City St. Marys English Medium High School, Ravindra Shatiniketan School, PHC Kandukur, Govt Hospital-Kandukur",3
"Residential Land / Plot in Shadnagar, Hyderabad","Shadnagar, Hyderabad",,2583 sqft,,,"Residential Plot for Sale in Shadnagar, Hyderabad. Covered area is 287.0 Sq-ft. This property belongs to ""V Infra Indraprastha"" . View Property NearbyShadnagar BustandShadnagar Railway StationSri JLM Shopping MallAVR shopping mall In ShadnagarOmkar Sahithi VidyalayaBhashyam SchoolMahabodhi Diagnostic CentreVijaya Hospital",V Infra Indraprastha,https://www.magicbricks.com/propertyDetails/287-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423836323339333933,"Shadnagar Bustand, Shadnagar Railway Station, Sri JLM Shopping Mall, AVR shopping mall In Shadnagar, Omkar Sahithi Vidyalaya, Bhashyam School, Mahabodhi Diagnostic Centre, Vijaya Hospital",2583.0,0.0,0.0,"Residential Land / Plot in Shadnagar, Hyderabad Shadnagar, Hyderabad Residential Plot for Sale in Shadnagar, Hyderabad. Covered area is 287.0 Sq-ft. This property belongs to ""V Infra Indraprastha"" . View Property NearbyShadnagar BustandShadnagar Railway StationSri JLM Shopping MallAVR shopping mall In ShadnagarOmkar Sahithi VidyalayaBhashyam SchoolMahabodhi Diagnostic CentreVijaya Hospital V Infra Indraprastha Shadnagar Bustand, Shadnagar Railway Station, Sri JLM Shopping Mall, AVR shopping mall In Shadnagar, Omkar Sahithi Vidyalaya, Bhashyam School, Mahabodhi Diagnostic Centre, Vijaya Hospital",2
"Residential Land / Plot in Nandigama Kothur, Hyderabad","Nandigama Kothur, Hyderabad",,2304 sqft,,,"Residential Plot for Sale in Nandigama Kothur, Hyderabad. Covered area is 256.0 Sq-ft. This property belongs to ""Sampada Diamond Tree"" . View Property",Sampada Diamond Tree,https://www.magicbricks.com/propertyDetails/256-Sq-yrd-Residential-Plot-FOR-Sale-Nandigama-Kothur-in-Hyderabad&id=4d423836313434343031,,2304.0,0.0,0.0,"Residential Land / Plot in Nandigama Kothur, Hyderabad Nandigama Kothur, Hyderabad Residential Plot for Sale in Nandigama Kothur, Hyderabad. Covered area is 256.0 Sq-ft. This property belongs to ""Sampada Diamond Tree"" . View Property Sampada Diamond Tree ",0
"Residential Land / Plot in Sadashivpet, Hyderabad","Sadashivpet, Hyderabad",,2700 sqft,,,"Residential Plot for Sale in Sadashivpet, Hyderabad. Covered area is 300.0 Sq-ft. This property belongs to ""Aduri Golden Heights"" . View Property NearbyBaradi Complex(Baradi Ravinder)Mathrusri Hospital",Aduri Golden Heights,https://www.magicbricks.com/propertyDetails/300-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423835393939393437,"Baradi Complex(Baradi Ravinder), Mathrusri Hospital",2700.0,0.0,0.0,"Residential Land / Plot in Sadashivpet, Hyderabad Sadashivpet, Hyderabad Residential Plot for Sale in Sadashivpet, Hyderabad. Covered area is 300.0 Sq-ft. This property belongs to ""Aduri Golden Heights"" . View Property NearbyBaradi Complex(Baradi Ravinder)Mathrusri Hospital Aduri Golden Heights Baradi Complex(Baradi Ravinder), Mathrusri Hospital",2
"Residential Land / Plot in Annaram, Nagole, Hyderabad","Annaram, Nagole, Hyderabad",,4743 sqft,,,"Welcome to a world of unparalleled living at Magnus Smart City a gated community that seamlessly combines sustainable living, modern infrastructure, and meticulously planned residential plots in a thriving location. The first phase spans 16.31 acres, setting the foundation for a vibrant and future-ready lifestyle. View Property",Mugdha Magnus Smart City,https://www.magicbricks.com/propertyDetails/527-Sq-yrd-Residential-Plot-FOR-Sale-Annaram-in-Hyderabad&id=4d423836323234333231,,4743.0,0.0,0.0,"Residential Land / Plot in Annaram, Nagole, Hyderabad Annaram, Nagole, Hyderabad Welcome to a world of unparalleled living at Magnus Smart City a gated community that seamlessly combines sustainable living, modern infrastructure, and meticulously planned residential plots in a thriving location. The first phase spans 16.31 acres, setting the foundation for a vibrant and future-ready lifestyle. View Property Mugdha Magnus Smart City ",4
"Residential Land / Plot in Sadashivpet, Hyderabad","Sadashivpet, Hyderabad",,3330 sqft,,,"Nestled amidst nature, The SVG City offers the perfect blend oftranquility and promise. View Property NearbyBaradi Complex(Baradi Ravinder)Mathrusri Hospital",The SVG City,https://www.magicbricks.com/propertyDetails/370-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423834373536343531,"Baradi Complex(Baradi Ravinder), Mathrusri Hospital",3330.0,0.0,0.0,"Residential Land / Plot in Sadashivpet, Hyderabad Sadashivpet, Hyderabad Nestled amidst nature, The SVG City offers the perfect blend oftranquility and promise. View Property NearbyBaradi Complex(Baradi Ravinder)Mathrusri Hospital The SVG City Baradi Complex(Baradi Ravinder), Mathrusri Hospital",1
"Residential Land / Plot in Shadnagar, Hyderabad","Shadnagar, Hyderabad",,2682 sqft,,,"Every inch of this masterfully planned community is crafted with intent, rooted in Vastu principles, shaped by modern engineering, and designed for spacious living. View Property NearbyShadnagar BustandShadnagar Railway StationSri JLM Shopping MallAVR shopping mall In ShadnagarNavajothy High SchoolGovt Junior CollegeVijaya HospitalGovernment Hospital-Shadnagar",Sree Laxmi Balaji Township,https://www.magicbricks.com/propertyDetails/298-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423835303831363839,"Shadnagar Bustand, Shadnagar Railway Station, Sri JLM Shopping Mall, AVR shopping mall In Shadnagar, Navajothy High School, Govt Junior College, Vijaya Hospital, Government Hospital-Shadnagar",2682.0,0.0,0.0,"Residential Land / Plot in Shadnagar, Hyderabad Shadnagar, Hyderabad Every inch of this masterfully planned community is crafted with intent, rooted in Vastu principles, shaped by modern engineering, and designed for spacious living. View Property NearbyShadnagar BustandShadnagar Railway StationSri JLM Shopping MallAVR shopping mall In ShadnagarNavajothy High SchoolGovt Junior CollegeVijaya HospitalGovernment Hospital-Shadnagar Sree Laxmi Balaji Township Shadnagar Bustand, Shadnagar Railway Station, Sri JLM Shopping Mall, AVR shopping mall In Shadnagar, Navajothy High School, Govt Junior College, Vijaya Hospital, Government Hospital-Shadnagar",2
"Residential Land / Plot in Shankarpalle, Hyderabad","Shankarpalle, Hyderabad",,2196 sqft,,,"Future Property NEO CITY by Future Property Group is one of the popular residential project in Shankarpalle, Hyderabad. It has lavish yet thoughtfully designed 105 residences. View Property NearbyShankarpally Bus Station Bus StopSB SUPERMARKETChandana Brothers Shopping Mall ShankarpallySri Vivekananda Junior College, ShankarpallySvaraaj HospitalMEGHA HOSPITAL",Future Property NEO CITY,https://www.magicbricks.com/propertyDetails/244-Sq-yrd-Residential-Plot-FOR-Sale-Shankarpally-in-Hyderabad&id=4d423835343130393937,"Shankarpally Bus Station Bus Stop, SB SUPERMARKET, Chandana Brothers Shopping Mall Shankarpally, Sri Vivekananda Junior College, Shankarpally, Svaraaj Hospital, MEGHA HOSPITAL",2196.0,0.0,0.0,"Residential Land / Plot in Shankarpalle, Hyderabad Shankarpalle, Hyderabad Future Property NEO CITY by Future Property Group is one of the popular residential project in Shankarpalle, Hyderabad. It has lavish yet thoughtfully designed 105 residences. View Property NearbyShankarpally Bus Station Bus StopSB SUPERMARKETChandana Brothers Shopping Mall ShankarpallySri Vivekananda Junior College, ShankarpallySvaraaj HospitalMEGHA HOSPITAL Future Property NEO CITY Shankarpally Bus Station Bus Stop, SB SUPERMARKET, Chandana Brothers Shopping Mall Shankarpally, Sri Vivekananda Junior College, Shankarpally, Svaraaj Hospital, MEGHA HOSPITAL",0
